,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,71,57,68,50,56,53,56,59,64,67,54,45
Arizona,86,76,88,80,77,72,69,65,75,73,55,51
Arkansas,38,41,55,58,63,52,52,61,57,60,56,47
California,100,89,100,85,89,100,91,97,82,100,82,68
Colorado,67,64,75,78,75,71,74,82,87,99,100,100
Connecticut,63,63,67,55,76,65,74,86,80,86,73,62
Delaware,61,60,92,81,50,70,43,66,80,62,49,44
District of Columbia,96,56,79,74,65,70,60,38,60,70,93,61
Florida,74,64,69,63,67,68,62,62,64,61,48,42
Georgia,69,61,76,89,87,70,57,79,71,73,67,53
Hawaii,89,41,62,86,100,60,58,74,75,73,64,57
Idaho,27,59,37,26,42,29,46,47,47,30,34,27
Illinois,80,64,75,63,62,61,62,62,67,72,63,67
Indiana,65,70,60,58,62,55,49,60,56,69,59,47
Iowa,59,34,52,40,59,49,43,49,55,61,53,45
Kansas,78,76,91,72,64,62,56,74,71,75,64,56
Kentucky,52,45,74,59,63,58,59,59,57,66,59,54
Louisiana,64,44,58,75,61,62,63,64,59,73,50,57
Maine,40,56,80,41,47,23,28,43,30,53,34,27
Maryland,63,59,63,58,61,63,57,57,55,72,52,53
Massachusetts,66,51,61,56,58,46,42,44,43,53,47,34
Michigan,80,70,80,73,75,56,48,50,58,58,52,53
Minnesota,66,52,54,67,60,47,53,58,56,79,80,61
Mississippi,73,57,65,45,60,51,59,48,45,65,49,40
Missouri,89,78,72,83,80,77,70,75,80,95,73,74
Nebraska,95,71,77,66,79,75,53,65,62,67,52,54
Nevada,97,95,94,86,98,87,96,94,92,97,87,83
New Hampshire,69,74,44,24,45,45,30,39,32,35,37,32
New Jersey,78,76,82,63,63,57,53,50,52,65,53,60
New Mexico,74,87,81,58,84,85,100,100,95,83,67,71
New York,72,57,61,54,58,52,44,50,50,54,49,40
North Carolina,60,49,62,59,63,55,53,56,60,59,51,45
Ohio,67,57,57,63,56,59,52,54,59,58,61,66
Oklahoma,95,49,76,61,84,86,71,95,85,87,67,51
Oregon,90,59,48,56,64,74,76,90,100,95,99,92
Pennsylvania,71,58,75,64,58,47,47,50,50,55,47,47
Rhode Island,44,57,51,61,83,56,58,50,63,72,65,47
South Carolina,66,65,68,62,73,64,58,69,65,76,53,51
South Dakota,71,48,98,69,59,49,20,56,55,61,61,32
Tennessee,69,55,66,58,62,62,61,76,73,77,57,59
Texas,79,69,76,74,73,60,54,58,61,65,52,52
Utah,70,64,80,74,86,75,59,60,60,72,53,49
Vermont,88,25,44,36,34,47,33,53,44,29,31,33
Virginia,58,59,58,42,34,52,47,50,52,57,43,44
Washington,94,100,97,100,95,99,81,86,86,88,79,85
West Virginia,36,50,63,48,51,41,40,57,49,43,39,37
Wisconsin,51,59,46,46,74,63,56,64,58,60,60,62
