,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,71,56.0,69,56,51,57,56,58,64,64,54,45
Arizona,80,66.0,89,79,73,70,69,60,73,70,57,52
Arkansas,50,41.0,54,61,66,53,53,55,59,59,57,44
California,91,84.0,100,87,92,100,86,88,91,100,79,76
Colorado,61,65.0,76,81,75,71,69,73,87,93,100,100
Connecticut,63,57.0,69,60,72,62,74,81,77,82,76,56
Delaware,55,60.0,91,85,47,83,43,60,68,58,57,51
District of Columbia,84,58.0,84,72,68,69,55,31,55,59,96,64
Florida,70,58.0,71,63,70,66,65,62,62,57,50,41
Georgia,60,65.0,76,89,88,71,60,74,72,69,66,52
Hawaii,85,53.0,70,100,100,64,58,71,76,71,63,57
Idaho,10,48.0,28,26,48,28,40,37,43,32,35,28
Illinois,70,63.0,72,64,64,60,62,59,66,68,68,61
Indiana,66,71.0,73,61,63,54,50,57,55,66,59,49
Iowa,56,27.0,50,51,47,43,42,48,54,58,53,41
Kansas,65,91.0,95,72,58,62,60,71,70,72,63,55
Kentucky,51,44.0,78,61,59,54,61,59,61,63,59,53
Louisiana,53,42.0,60,73,61,63,63,60,53,70,54,55
Maine,14,42.0,75,30,41,24,35,45,29,58,35,26
Maryland,64,61.0,61,62,64,63,58,56,57,63,54,51
Massachusetts,60,49.0,63,57,58,46,41,41,43,54,46,34
Michigan,74,68.0,78,76,76,56,50,46,58,55,53,51
Minnesota,62,53.0,53,68,66,48,53,53,58,73,85,62
Mississippi,66,56.0,62,42,54,55,60,45,49,64,45,41
Missouri,83,75.0,76,84,80,76,70,72,78,86,73,73
Nebraska,73,68.0,74,65,65,75,55,61,60,71,59,53
Nevada,100,89.0,88,90,100,85,91,82,93,90,89,82
New Hampshire,46,79.0,42,12,19,51,37,37,30,32,31,29
New Jersey,66,76.0,81,64,64,56,54,49,53,61,51,59
New Mexico,39,86.0,71,64,81,88,100,100,89,78,65,72
New York,66,54.0,63,54,61,51,44,49,49,51,48,40
North Carolina,51,48.0,60,60,66,55,50,52,59,55,53,45
Ohio,64,56.0,58,63,60,58,52,53,59,56,61,64
Oklahoma,82,52.0,71,60,84,84,69,91,85,85,71,52
Oregon,78,59.0,53,55,66,74,83,91,100,94,99,92
Pennsylvania,67,58.0,75,63,58,46,45,47,51,53,49,50
Rhode Island,39,47.0,47,72,74,52,66,49,63,62,80,47
South Carolina,62,61.0,72,68,81,62,57,67,64,72,57,53
South Dakota,42,17.0,73,49,84,48,26,56,54,44,67,35
Tennessee,58,55.0,66,59,63,63,61,72,73,72,59,59
Texas,73,67.0,75,71,73,60,54,55,61,60,50,52
Utah,66,56.0,81,76,87,70,62,61,60,65,55,49
Vermont,89,,43,24,51,53,30,49,38,52,41,23
Virginia,57,59.0,59,43,35,54,44,48,50,53,44,43
Washington,84,100.0,98,100,96,96,81,79,86,82,80,82
West Virginia,24,40.0,64,50,48,42,44,55,55,39,38,38
Wisconsin,45,59.0,48,45,78,62,56,58,52,58,62,60
